
49, -12

49, -12

36, -88

59, -16

1, -21

19, -12

62, -80

62, -80

62, -80

62, -81

3, -22

3, -22

3, -22

3, -22

3, -22

3, -22

108, -65

108, -65

108, -65

54, -80

54, -82

54, -80

54, -80

54, -80

54, -82

54, -82

68, -85

68, -86

6, -21

6, -21

6, -21

6, -21

24, 25

24, 25

24, 25

6, -21

6, -21

3, -24

3, -24

93, -70

93, -68

93, -69

80, -66

32, 11

32, 11

81, -30

67, -16

67, -14

67, -16

67, -14

67, -14

67, -15

80, -34

53, -76

53, -74

7, -15

7, -15

75, -84

53, -75

96, -84

6, -13

6, -13

6, -13

24, 29

24, 29

-7, -6

-7, -6

-7, -6

-7, -6

-7, -6

7, -12

-7, -6

-7, -6

-7, -6

7, -12

7, -12

48, -6

44, -85

44, -83

44, -83

60, -63

90, -77

86, -85

60, -62

17, -6

26, 8

17, -6

26, 8

71, -34

49, -12

49, -12

49, -10

71, -32

71, -33

89, -56

96, -88

66, -71

101, -71

101, -69

74, -45

83, -84

29, 9

44, 2

44, 2

44, 2

76, -84

76, -84

19, 27

19, 27

19, 27

19, 20

19, 20

44, 9

44, 9

59, -7

7, -20

22, 23

60, -26

117, -60

46, 3

115, -66

-7, -17

-7, -17

-7, -17

98, -67

89, -79

69, -60

76, -83

35, 13

48, -73

-9, -4

-9, -4

-9, -4

-9, -4

-9, -4

8, 9

8, 9

-6, 0

-6, 0

-6, 0

-6, 0

-6, 0

66, -58

66, -60

66, -59

51, -77

51, -75

70, -33

87, -87

63, -84

63, -84

63, -84

63, -84

63, -82

63, -84

63, -83

86, -52

86, -54

28, 11

28, 11

12, -19

73, -28

20, 6

20, 6

20, 6

20, 6

-5, -6

36, 9

36, 9

36, 9

11, 31

11, 31

11, 31

11, 31

11, 31

-2, -9

70, -31

116, -65

116, -67

116, -67

41, -81

83, -46

83, -44

110, -65

110, -63

35, 8

35, 8

92, -64

107, -64

92, -64

-6, -7

-6, -7

-6, -7

63, -83

63, -83

63, -81

51, -11

51, -10

22, 25

22, 25

62, -75

54, -74

54, -76

70, -17

70, -15

70, -15

70, -16

48, -84

47, -82

48, -84

74, -48

48, -85

55, -15

63, -73

63, -71

63, -72

38, 11

22, 29

3, 8

8, -1

38, 11

22, 29

22, 29

22, 29

79, -28

12, -5

12, -5

12, -5

79, -49

51, -7

51, -8

114, -66

114, -66

114, -67

11, 11

11, 11

11, 11

11, 11

11, 11

40, 13

-1, -18

-1, -18

91, -60

99, -82

99, -84

15, -15

59, -85

9, -19

9, -19

91, -57

12, -10

12, -10

12, -10

12, -10

73, -47

73, -49

79, -56

66, -76

87, -85

87, -84

21, 14

62, -63

62, -63

0, -17

0, -17

0, -17

111, -65

111, -65

111, -64

65, -79

65, -79

65, -79

65, -79

65, -79

13, 2

13, 2

13, 2

13, 2

99, -83

60, -82

60, -83

114, -67

2, -19

2, -19

2, -19

2, -19

85, -52

85, -52

85, -54

85, -54

13, 9

13, 9

85, -54

85, -53

12, -8

12, -8

12, -8

12, -8

70, -30

90, -82

90, -82

90, -80

11, 32

11, 32

90, -80

90, -82

90, -81

55, -8

106, -64
